seanbaker,1001,sean.baker@anora.com,53,Anora;September 5;A Real Pain
mikemadison,1002,madison.mikey@anora.com,34,Anora;The Substance;Conclave
adrienbrody,1003,brody.adrien@brutalist.com,51,The Brutalist;Dune: Part Two;Conclave
timotheechalamet,1004,chalamet.timothee@unknown.com,29,A Complete Unknown;Dune: Part Two;Wicked
cynthiae,1005,erivo.cynthia@wicked.com,38,Wicked;Anora;The Substance
karlasg,1006,gascon.karla@emiliaperez.com,35,Emilia Pérez;I'm Still Here;The Substance
demimoore,1007,moore.demi@substance.com,62,The Substance;Anora;Conclave
fernandat,1008,torres.fernanda@stillhere.com,58,I'm Still Here;Emilia Pérez;The Substance
zoesaldana,1009,saldana.zoe@emiliaperez.com,46,Emilia Pérez;Dune: Part Two;Wicked
guypearce,1010,pearce.guy@brutalist.com,57,The Brutalist;Conclave;Anora
arianagrande,1011,grande.ariana@wicked.com,31,Wicked;Anora;The Substance
felicityjones,1012,jones.felicity@brutalist.com,41,The Brutalist;Conclave;Anora
isabellar,1013,rossellini.isabella@conclave.com,72,Conclave;The Substance;Anora
yuraborisov,1014,borisov.yura@anora.com,32,Anora;The Brutalist;Conclave
kieranculkin,1015,culkin.kieran@realpain.com,42,A Real Pain;Anora;The Substance
edwardnorton,1016,norton.edward@unknown.com,55,A Complete Unknown;Anora;Conclave
jeremystrong,1017,strong.jeremy@apprentice.com,46,The Apprentice;Anora;Conclave
ralphfiennes,1018,fiennes.ralph@conclave.com,62,Conclave;Anora;The Substance
sebastianstan,1019,stan.sebastian@apprentice.com,42,The Apprentice;Anora;Conclave
colmandomingo,1020,domingo.colman@singsing.com,55,Sing Sing;Anora;The Substance
